STATUS,cEXT,cAGR,cNEU,cCON,cOPN
cinnamon  ice  cream  from  scratch    just  another  day  living  with  a  culinary  student    propname  rocks ,y,y,n,y,y
making  a  quilt ,y,y,n,y,y
headed  back  to  atl  after  a  great  weekend  in  tampa   ,y,y,n,y,y
chocolate  covered  potato  chips    what  will  they  come  up  with  next  they  are  so  good ,y,y,n,y,y
christmasing   ,y,y,n,y,y
going  home  tomorrow  for  propnames  bridal  shower  and  fathers  day ,y,y,n,y,y
i  love  vacation  tomorrow  were  going  to  the  beach   ,y,y,n,y,y
propname  noel  christmas  slippers  hot  cocoa  soft  blanket  and  a  book  just  missing  the  snow ,y,y,n,y,y
sewing  again ,y,y,n,y,y
back  in  atlanta  theres  no  snow  here ,y,y,n,y,y
my  coworkers  just  bumped    love  iphone  entertainment ,y,y,n,y,y
traverse  city  this  weekend  detroit  next  weekend  fall  in  michigan ,y,y,n,y,y
on  my  way  to  chicago   ,y,y,n,y,y
headed  back  to  atlanta  gasparilla  was  a  hoot ,y,y,n,y,y
finishing  my  quilt  today ,y,y,n,y,y
dearest  souper  propname  of  buckhead  your  chocolate  cupcakes  were  heavenly  hope  to  see  you  again  for  lunch  soon ,y,y,n,y,y
chicago  on  monday    tuesday  orlando  on  thursday    friday  and  tampa  on  saturday    sunday ,y,y,n,y,y
is  thanking  god  for  another  day  in  the  land  of  the  living  for  tomorrow  is  not  promised  a  harsh  reminder  that  we  have  a  limited  time  to  mend  broken  relationships  achieve  our  goals  and  be  with  the  ones  we  love ,n,y,y,y,y
is  back  and  better  than  ever  a  little  wiser  a  lot  stronger  and  much  happier  with  a  new  attitude   ,n,y,y,y,y
is  lovin  it  all  i  have  to  do  is  sit  back  enjoy  the  ride  let  the  good  times  roll  and  my  destiny  is  here  yep  pretty  much   ,n,y,y,y,y
is  so  disappointedwhy  do  i  always  have  to  be  right  about  these  things ,n,y,y,y,y
knows  that  god  is  carrying  her  without  him  this  would  be  too  much  keep  thy  heart  with  all  diligence  for  out  of  it  are  the  issues  of  life  proverbs  423  lord  i  know  your  love  is  enough  for  me   ,n,y,y,y,y
if  i  should  stay  i  would  only  be  in  your  way  so  ill  go  but  i  know  ill  think  of  you  evry  step  of  the  wayi  hope  life  treats  you  kind  and  i  hope  you  have  all  you  dreamed  of  and  i  wish  you  joy  and  happiness  but  above  this  i  wish  you  loveand  i ,n,y,y,y,y
out  of  the  abundance  of  the  heart  the  mouths  speaks  guard  your  words  at  all  times  your  mouth  can  do  so  much  damage  to  you  and  those  around  you  the  tongue  is  a  world  of  iniquity  set  afire  of  hell ,n,y,y,y,y
word  of  the  day  you  dont  have  to  settle  for  anything  or  anyone  in  your  life  determine  what  you  dont  like  pray  hard  work  hard  and  fix  it  sometimes  its  just  easier  to  walk  away  and  start  over ,n,y,y,y,y
is  saying  lord  take  my  hand  cover  me  and  take  me  beyond  what  i  understand ,n,y,y,y,y
is  thinking  that  some  people  once  gone  need  not  ever  come  back  into  your  lifeever ,n,y,y,y,y
is  wondering  why  people  think  im  going  to  put  up  with  their  foolishness  my  silence  is  not  ignorance  yes  my  price  tag  is  high  but  the  rewards  far  exceed  the  costand  those  who  matter  will  put  in  the  work  the  only  treasure  valued  is  the  treasure  worked  for ,n,y,y,y,y
is  finally  doing  what  she  should  have  done  a  long  time  ago  a  burden  has  been  lifted ,n,y,y,y,y
is  so  happy  that  my  daddy  always  hears  and  answers  right  on  time  i  love  my  jesus  and  hes  the  only  one  that  i  need ,n,y,y,y,y
i  got  exactly  what  i  asked  for  and  it  hurts  i  forgot  that  nightmares  are  dreams  too ,n,y,y,y,y
is  really  craving  some  bbq    i  love  my  family  but  somethings  gonna  have  to  change ,n,y,y,y,y
is  starting  all  over  again ,n,y,y,y,y
can  see  clearly  now  and  no  longer  focuses  on  the  closed  doors  im  only  looking  at  all  the  open  ones  god  has  set  before  me  surely  or  only  goodness  mercy  and  unfailing  love  shall  follow  me  all  the  days  of  my  life  and  the  presence  of  the  lord  and  his  house  shall  be  my  dwelling  place  forever ,n,y,y,y,y
who  shall  lay  anything  to  the  charge  of  gods  elect  it  is  god  that  justifiethfor  i  am  persuaded  that  neither  death  nor  life  nor  angels  nor  principalities  nor  powers  nor  things  present  nor  things  to  come  nor  height  nor  depth  nor  any  other  creature  shall  be  able  to  separate  us  from  the  love  of  god  which  is  in  christ  jesus  our  lord  have  a  blessed  day ,n,y,y,y,y
is  lmbo  as  this  last  uno  game  i  just  played  but  really  though  time  for  bed  long  day  tomorrow ,n,y,y,y,y
is  comforted  and  content  it  only  gets  better  from  here ,n,y,y,y,y
had  dinner  with  one  of  her  favorite  teachers  and  is  finally  home ,n,y,y,y,y
people  come  and  go  and  will  always  disappoint  so  i  only  invest  in  god  lord  i  belong  to  you  until  the  end  of  time  i  just  wanna  be  close  to  you ,n,y,y,y,y
two  weddings  one  baby  shower  and  a  great  church  service  on  sunday  a  weekend  full  of  love  and  encouragement  and  i  know  the  best  is  yet  to  come  all  things  work  together  for  the  good  to  them  that  love  god  for  them  who  are  the  called  according  to  his  purpose ,n,y,y,y,y
and  still  i  rise ,n,y,y,y,y
is  excited  about  her  first  day  at  her  new  job  as  a  college  graduate  this  is  gonna  be  a  fabulous  day  this  is  the  day  that  the  lord  hath  made  let  us  rejoice  and  be  glad  in  it ,n,y,y,y,y
finally  graudated  despite  the  weather  thank  you  jesus  and  thank  you  all  for  your  love  and  support  and  thanks  to  my  love  who  came  out  to  celebrate  with  me  last  night ,n,y,y,y,y
enjoyed  spending  time  with  one  of  her  favorite  people  propname   ,n,y,y,y,y
has  to  start  all  over  again ,n,y,y,y,y
is  done  with  facebook  why  am  i  tagged  in  a  status  against  my  will ,n,y,y,y,y
now  needs  another  costume  idea  for  the  80s  party ,n,y,y,n,y
is  not  ready  for  monday ,n,y,y,n,y
just  found  a  new  way  to  annoy  coworkers  drink  a  big  gulp  of  water  and  chew  as  you  slowly  swallow  it ,n,y,y,n,y
is  looking  to  hire  an  end  user  support  technician ,n,y,y,n,y
feels  niceness  is  wasted  on  some  people ,n,y,y,n,y
wants  some  alertos  to  cure  this  hangover ,n,y,y,n,y
talking  to  the  two  little  guys  standing  on  my  shoulders  about  the  iphone ,n,y,y,n,y
the  best  winter  holiday  season  of  my  life  has  concluded ,n,y,y,n,y
hates  wearing  contacts  to  work ,n,y,y,n,y
just  came  back  from  another  awesome  weekend  in  mammoth ,n,y,y,n,y
go  to  urbandictionarycom  and  type  in  your  first  name  then  copy  and  paste  this  as  your  status  put  the  first  entry  for  your  name  under  comments ,n,y,y,n,y
is  one  of  the  unlucky  ones  that  has  to  work  today ,n,y,y,n,y
24  hours  til  lift  off ,n,y,y,n,y
is  excited  for  july  3rd ,y,y,y,n,y
is  rather  enjoying  her  little  vacation  in  oshkosh ,y,y,y,n,y
is  getting  married  in  a  little  over  a  month ,y,y,y,n,y
isnt  sure  what  to  think  about  things ,y,y,y,n,y
is  waiting  for  august  28th  at  415  horray  for  the  beginning  of  the  rest  of  my  life ,y,y,y,n,y
has  cold  feet ,y,y,y,n,y
is  terribly  confused  it  feels  like  my  mind  is  warring  with  itself ,y,y,y,n,y
is  thinking  hard  and  excited  for  her  new  xanga  layout ,y,y,y,n,y
thinks  pipe  tobacco  is  way  better  than  cigarettes ,y,y,y,n,y
doesnt  know  how  to  cope  with  all  of  this  stress  i  think  ive  cried  about  10  times  in  the  last  3  days ,y,y,y,n,y
continues  to  befuddle  herself ,y,y,y,n,y
was  not  able  to  push  her  wedding  date  back  to  the  fourth  of  september  the  presiding  judge  was  fullup  the  date  remains  august  28th  at  415 ,y,y,y,n,y
is  sickstill  and  possibly  jobless  in  2  weeks  that  is  if  no  more  positions  open  up  for  me  at  walmart ,y,y,y,n,y
hopes  that  walmart  hires  her  now  realizing  her  blouse  was  open  during  part  of  the  interview ,y,y,y,n,y
maybe  a  kitty  would  be  a  good  christmas  gift  for  propname ,y,y,y,n,y
still  getting  over  that  cold  from  last  week  but  hey  at  least  everyones  laid  off  the  quit  smoking  bit ,y,y,y,n,y
is  at  home  on  her  first  scheduled  day  off  and  im  bored  out  of  my  mind ,y,y,y,n,y
is  still  rather  fluish ,y,y,y,n,y
is  thinking  that  the  poor  girls  doing  that  single  ladies  are  getting  dissed  too  much  ive  seen  younger  girls  doing  lewder  dances  with  less  clothes  seriously ,y,y,y,n,y
would  work  a  spell  if  not  for  the  moon  being  void  of  course ,y,y,y,n,y
is  sick  and  tired  of  people  who  comment  on  every  single  status  update  no  matter  how  insignificant  weve  been  here  before  you  know  who  you  are ,y,y,y,n,y
is  having  a  little  boy ,y,y,y,n,y
bought  her  2010  farmers  almanac  today  horray  for  not  having  to  write  down  every  single  sunrise  sunset  moonrise  moonset  and  void  of  course  pattern  for  next  year  woot ,y,y,y,n,y
stayed  home  from  work  to  take  care  of  her  hubby  by  the  way  the  yorkie  babies  are  so  adorable ,y,y,y,n,y
thinks  that  she  needs  some  numbers  from  friends ,y,y,y,n,y
needs  someone  to  drink  for  her  on  dec  12th  since  im  pregnant  and  cant  lol ,y,y,y,n,y
6  more  days  im  counting  down  and  bah  on  all  you  snowhaters  all  i  know  is  i  dont  have  to  shovel  this  year  thanks  to  my  loving  hubby  thank  you  hubby   ,y,y,y,n,y
is  still  sick  oh  well ,y,y,y,n,y
hm  lowsignal  internet  works  for  me ,y,y,y,n,y
i  dont  want  to  miss  this  weekend  but  i  might  have  to  shitty  weather  and  my  hubby  cant  work  today  i  think  i  might  cry  cause  i  really  really  wanted  to  go  why  did  i  ask  for  snow  i  only  wanted  a  little ,y,y,y,n,y
finally  snow  in  reedsburg  im  so  happy  theres  gonna  be  snow  on  my  birthday ,y,y,y,n,y
just  woke  up  to  half  an  inch  of  snow  and  is  so  happy  shes  going  outside  in  her  pajamas  to  sweep  it  off  her  porch  thats  no  sarcasm  folks  im  really  excited    5  days ,y,y,y,n,y
is  a  little  upset  about  the  amount  of  snow  and  hopes  she  gets  enough  birthday  money  to  visit  her  parents  this  weekend ,y,y,y,n,y
well  reedsburg  certainly  has  an  interesting  way  of  plowing  the  streets  2  more  days ,y,y,y,n,y
feels  8  months  pregnant  but  really  im  only  5  12 ,y,y,y,n,y
wonders  if  its  just  coincidence  that  mine  and  my  best  friends  birthdays  are  exactly  twoo  weeks  apart ,y,y,y,n,y
classes  start  126  at  130  pm  im  so  excited ,y,y,y,n,y
is  eating  stroganoff  waiting  for  her  hubby  to  come  home  and  then  maybe  some  sleep ,y,y,y,n,y
6  more  days  im  counting  down ,y,y,y,n,y
the  siren  in  reedsburg  keeps  going  off  its  not  the  normal  noonblast  siren  it  sounds  like  an  airraid  siren  and  continued  for  10  minutes  can  anyone  tell  me  how  to  find  out  what  the  damn  things  mean ,y,y,y,n,y
sleepwake  upeatmore  walls  and  floors ,y,y,y,n,y
wishes  vampire  wars  didnt  take  so  long  to  put  monies  and  energy  back  to  your  character ,y,y,y,n,y
taps  then  bed ,y,y,y,n,y
sends  out  yuletide  greetings  to  all  her  friends  i  love  you  all  and  have  a  very  merry  holiday ,y,y,y,n,y
more  walls  more  floors  i  need  to  make  the  sims  2  even  more  amazing ,y,y,y,n,y
hopes  no  one  else  bought  a  baby  book  for  propname  im  up  to  three  now ,y,y,y,n,y
going  to  grandma  bs  for  dinner  then  to  sheboygan  falls  tomorrow  what  a  busy  weekend ,y,y,y,n,y
thank  you  everyone  for  the  birthday  wishes  and  the  cards  you  guys  made  last  week  special   ,y,y,y,n,y
greatly  dislikes  the  usps  they  damaged  my  christmas  card   ,y,y,y,n,y
4  days  folks  then  up  to  mercer  with  my  son  and  my  loving  hubby  i  love  you  hubby   ,y,y,y,n,y
had  a  wonderiferous  birthday   ,y,y,y,n,y
is  drowsy  still  at  least  i  managed  to  get  8  hours  of  sleep  last  night  a  rarity  these  days ,y,y,y,n,y
found  out  the  used  put  out  a  new  album  this  past  year  how  did  i  miss  that  one ,y,y,y,n,y
is  a  little  upset  about  not  being  able  to  get  a  good  connection  all  day  ill  try  again  tonight ,y,y,y,n,y
codys  car  is  ghey ,y,y,y,n,y
work  on  the  forum  is  done  for  today  now  time  to  get  lunch  for  me  connor  and  the  baby  and  watch  walle  again ,y,y,y,n,y
going  to  be  another  long  and  boring  week  so  glad  i  dont  have  to  go  anywhere  for  a  few  months  after  this  weekend ,y,y,y,n,y
wishes  she  could  post  her  awesome  playlist  to  gaia  but  cant  figure  out  the  coding  for  it ,y,y,y,n,y
actually  got  some  good  sleep  for  once   ,y,y,y,n,y
knows  what  connor  got  from  her  he  is  such  a  little  drama  king  screaming  bloody  murder  at  timeouts ,y,y,y,n,y
sleepy    working  on  the  forum ,y,y,y,n,y
ugh  i  hate  this  why  is  sleep  such  an  issue  when  youre  pregnant ,y,y,y,n,y
hates  facebook  the  internet  and  her  monitor ,y,y,y,n,y
is  unloved  3 ,y,y,y,n,y
hopes  they  schedule  her  csection  at  her  doctors  appointment  on  wednesday ,y,y,y,n,y
tommorrow  i  turn  21  im  super  excited  and  i  cant  wait  for  4  pm  to  roll  around  mercer  here  i  come ,y,y,y,n,y
it  never  fails  i  go  to  lay  my  son  down  for  a  nap  and  someone  inevitably  begins  pounding  on  something  making  it  impossible  for  him  to  sleep ,y,y,y,n,y
they  got  me  those  darn  zynga  games  so  addicting ,y,y,y,n,y
3310  propname  is  coming ,y,y,y,n,y
i  need  a  massage  now  any  takers ,y,y,y,n,y
i  should  have  gone  to  bed  earlier  than  130  am  guess  i  forgot  that  propname  was  going  to  be  up  at  7 ,y,y,y,n,y
hubby  is  sick  connor  is  crabby  im  just  tired ,y,y,y,n,y
finally  found  out  who  got  her  hubby  and  kid  sick  and  is  pissed  that  she  didnt  find  out  until  her  son  started  puking ,y,y,y,n,y
has  discovered  that  is  an  awful  idea  to  sleep  on  her  back ,y,y,y,n,y
getting  my  son  to  take  a  nap  is  like  pulling  teeth ,y,y,y,n,y
well  my  kid  and  propname  are  better  now  just  waiting  for  it  to  hit  me ,y,y,y,n,y
i  wanna  play  gf ,y,y,y,n,y
i  think  my  part  of  the  rp  forum  is  done  we  will  need  some  moderators  so  anyone  interested  please  send  a  meassage  to  me  on  here  and  i  will  get  you  set  up  with  an  account  and  send  a  linky  thanks ,y,y,y,n,y
pali  tank  ftw ,y,y,y,n,y
absolutely  has  to  remember  to  call  matc  and  drop  her  class ,y,y,y,n,y
ill  be  back  tomorrow  ill  be  back  at  a  quarter  to  eleven  im  half  drunk  and  i  cant  see  straight  i  hear  a  zero  with  a  capital  z  you  got  me  singing  songs  from  the  balcony  as  the  city  crumbles  under  the  powers  of  an  evil  doctor  rocket  science  monster  with  capabilities  to  destroy  the  entire  universe ,y,y,y,n,y
pants  on  the  ground  pants  on  the  ground  looking  like  a  fool  with  your  pants  on  the  ground ,y,y,y,n,y
sleepy ,y,y,y,n,y
tax  refund ,y,y,y,n,y
city  of  angels  hads  reconfirmed  my  belief  that  propname  is  awesome ,y,y,y,n,y
is  tired ,y,y,y,n,y
spent  another  sleepless  night  tossing  and  turning  only  to  get  up  at  9  am  and  deal  with  a  kid  who  i  swear  has  the  loudest  most  earpiercing  scream  i  have  ever  heard  and  uses  it  to  top  it  all  off  i  got  a  call  from  the  clinic  saying  that  im  anemic  and  they  want  to  put  me  on  yet  another  iron  supplement  that  i  cant  afford  ftw ,y,y,y,n,y
going  to  the  inlaws  for  dinner  then  home  for  the  evening ,y,y,y,n,y
can  finally  be  on  the  net  at  the  same  time  as  her  husband  hooray ,y,y,y,n,y
is  feeling  it   ,y,y,y,n,y
doesnt  want  every  status  commented  on  once  in  a  while  is  fine  but  every  status  its  starting  to  get  annoying  you  know  who  you  are ,y,y,y,n,y
has  a  naughty  son ,y,y,y,n,y
tried  to  shovel  it  was  a  bad  idea ,y,y,y,n,y
its  been  a  good  week ,y,y,y,n,y
is  feeling  better  after  sleeping  on  clean  sheets ,y,y,y,n,y
tell  me  that  youre  all  right  and  everything  is  all  right ,y,y,y,n,y
only  one  level  left  on  grand  fantasia  then  i  am  a  palidin ,y,y,y,n,y
had  a  great  holiday  hopes  the  new  year  will  bring  better  luck ,y,y,y,n,y
new  profile  image  and  the  funny  thing  is  now  that  i  think  about  propname  is  a  lot  like  propname ,y,y,y,n,y
to  celebrate  valentines  day  change  your  profile  picture  to  you  and  your  spousesignificant  other  and  make  sure  to  tell  how  long  youve  been  together ,y,y,y,n,y
thinks  both  her  and  her  husband  have  sleep  apnea ,y,y,y,n,y
my  net  sucks  big  hairy  red  manballs  argh ,y,y,y,n,y
i  am  the  eggman  they  are  the  eggman  i  am  the  walrus  coo  coo  cachu ,y,y,y,n,y
smells  justice  has  been  served  what  goes  around  comes  around  and  it  definately  came  around  for  you  propname ,y,y,y,n,y
i  may  be  the  only  propname  in  the  world    im  definitely  the  only  one  on  facebook ,n,n,y,n,y
happy  fathers  day  to  all  you  dads ,n,n,y,n,y
i  have  hardly  given  more  information  in  the  octameterheptameter  hexameter  or  pentameter  than  there  is  in  the  tetrameter  of  course  the  boys  are  sleeping  you  cant  wake  someone  who  isnt  and  a  very  roof  is  still  a  roof  the  ode  less  travelled  propname ,n,n,y,n,y
has  just  completed  sexual  harassment  training    now  i  can  be  really  good  at  it ,n,n,y,n,y
wow  im  stupid    i  cant  count  in  monthly  increments  i  actually  have  one  more  month  to  complete  this  f  thesis ,n,n,y,n,y
haagendazs  baileys  ice  cream  straight  out  of  the  pot    the  perfect  accompaniment  for  thesis  writing ,n,n,y,n,y
my  wonderful  husband  bought  me  a  really  fast  computer  the  old  one  caught  a  trojan  the  remaining  15  pages  will  just  fly  by  thank  you  propname ,n,n,y,n,y
just  dropped  in  on  my  lovely  italian  friend    now  feel  the  need  for  agnello  e  risotto  a  funghi ,n,n,y,n,y
i  now  have  a  masters  degree    abt  all  but  thesis ,n,n,y,n,y
first  day  as  a  high  school  english  teacher  apparently  an  english  accent  fools  em ,n,n,y,n,y
there  will  be  no  magic  mountain  fireworks  on  the  4th  perhaps  you  guys  dont  want  this  independence  thingy  after  all ,n,n,y,n,y
thesis  approved  now  can  someone  give  me  a  job ,n,n,y,n,y
its  propnames  birthday  in  about  45  minutes  but  he  doesnt  want  a  surprise  party ,n,n,y,n,y
i  have  submitted ,n,n,y,n,y
it  was  so  nearly  the  perfect  football  day    ucla  won  again  but  then  usc  came  from  behind ,n,n,y,n,y
now  propname  is  asking  whens  my  party    who  predicted  that ,n,n,y,n,y
propname ,n,n,y,n,y
my  son  breaks  his  ankle  on  the  football  field  and  his  only  concern  is  that  he  missed  the  pool  party  with  the  cheerleaders ,n,n,y,n,y
question  how  does  one  get  8th  graders  to  shut  the  up  propname  propname  propname  propname  i  know  you  know    im  exhausted ,n,n,y,n,y
i  went  sailing  today  with  the  fergies  and  rich  pearsall  i  polluted  the  pacific  a  little  more  that  it  was  alreaddy   ,n,n,y,n,y
we  will  miss  the  moosrubins  but  were  looking  forward  to  another  great  evening  at  the  bowl ,n,n,y,n,y
im  almost  ready  to  submit ,n,n,y,n,y
i  have  a  new  job ,n,n,y,n,y
i  have  at  least  one  crazy  child  who  is  back  on  the  football  field ,n,n,y,n,y
this  teacher  got  an  apple  today    and  grapes  strawberries  and  cream ,n,n,y,n,y
noclass  stadium  for  a  noclass  coach    but  i  did  park  on  someones  drive  for  20  instead  of  the  60  that  i  would  have  had  to  give  to  usuck ,n,n,y,n,y
its  a  lovely  day  in  the  neighbourhood  when  ucla  win  and  the  university  for  spoiled  children  lose   ,n,n,y,n,y
my  second  favorite  team    arizona ,n,n,y,n,y
go  navy ,n,n,y,n,y
during  a  recent  password  audit  it  was  found  that  a  blonde  was  using  the  following  password  mickeyminnieplutohueylouiedeweydonaldgoofysacramento  when  asked  why  such  a  long  password  she  said  she  was  told  that  it  had  to  be  at  least  8  characters  long  and  include  at  least  one  capital ,n,n,y,n,y
back  home  from  an  evening  of  enlightened  debauchery  and  no  walt  whitman  in  sight  there  was  this  one  guy  from  ny  saying  something  about  leaves  of  grass ,n,n,y,n,y
our  tree  is  naked  we  cant  find  the  skirt ,n,n,y,n,y
my  cousin  keeps  beating  me  at  bejewled  blitz ,n,n,y,n,y
did  someone  already  tell  me  the  difference  between  news  feed  and  live  feed  sorry  i  wasnt  listening ,n,n,y,n,y
its  too  close    were  not  used  to  playing  in  the  cold ,n,n,y,n,y
put    this    on    your    status    if    you    know    someone    who    has    or    had    cancer    all  i  want  for  christmas  is  a  cure   ,n,n,y,n,y
for  those  of  you  who  asked  the  port  was  an  85  propname  from  vila  nova  de  gaia  portugal ,n,n,y,n,y
we  wish  you  a  merry•¨•¸¸  ¸¸•¨•  christmas•¨•¸¸  ¸¸•¨•we  wish  you  a  merry  •¨•¸¸  ¸¸•¨•christmas      we  wish  you  a  merry  •¨•¸¸  ¸¸•¨•christmas  •¨•¸¸  ¸¸•¨•and  a  happy  new  year•¨•¸¸  ¸¸•¨•  copy  and  pastekeep  the  wave  going ,n,n,y,n,y
for  those  of  you  who  are  just  67  hours  away  from  2010  happy  new  yearnuovo  anno  felicenouvelle  année  heureuse  etc  and  for  the  rest  of  us  whether  on  the  east  or  west  coast  i  hope  it  will  be  worth  the  wait   ,n,n,y,n,y
nothing  yet    its  my  day  off ,n,n,y,n,y
black ,n,n,y,n,y
finally  raspberry  pink  white  and  grey ,n,n,y,n,y
please  put  this  on  your  status  if  you  know  someone  or  are  related  to  someone  who  is  a  wanker  wankers  affect  the  lives  of  many  there  is  still  no  known  cure  for  these  as  but  we  can  raise  awareness    93  wont  copy  and  paste  this  will  you  make  this  your  status  for  at  least  one  hour  d ,n,n,y,n,y
to  whom  it  may  concern  have  a  great  first  day  at  school  today  and  make  good  choices ,n,n,y,n,y
if  you  are  a  parent  with  the  greatest  kids  on  earth  then  copy  and  repost  this  and  lets  give  our  kids  the  recognition  they  need  i  am  proud  of  my  children ,n,n,y,n,y
3ish ,n,n,y,n,y
just  discovered  our  dog  barks  at  thunder ,n,n,y,n,y
status  is  being  tracked  the  owners  of  facebook  have  confirmed  they  will  send  1  to  the  rescue  fund  for  the  haiti  earthquake  disaster  for  everytime  this  is  cut  and  paste  as  a  status  you  only  have  to  leave  it  for  a  minimum  of  1  hour  lets  all  do  our  bit  to  help ,n,n,y,n,y
my  first  english  department  meeting  i  was  expecting  fisticuffs ,n,n,y,n,y
its  our  anniversary    16  years  ago  today  the  rassool  family  landed  in  california  to  pursue  the  american  dream ,n,n,y,n,y
one  syllabus  down  one  to  go  but  i  got  distracted ,n,n,y,n,y
happy  chinese  new  year  to  all  my  fellow  tigers  leo  who  turns  12  this  year  and  any  friends  who  are  turning  24  36  48  60  72  or  more  its  going  to  be  a  lucky  year  for  us ,n,n,y,n,y
is  fat  and  happy   ,y,n,n,n,n
starting  in  sept   ,y,n,n,n,n
going  to  get  fatter  on  a  cruise  with  miss  fatty ,y,n,n,n,n
yay  background  check  says  im  not  a  criminal ,y,n,n,n,n
congrats  dr  and  mrs  tran ,y,n,n,n,n
i  beat  the  system  speeding  ticket  is  dismissed  woot ,y,n,n,n,n
ty  all  for  your  birthday  wishes ,y,n,n,n,n
does  anyone  need  a  really  really  big  master  bedroom  in  sd ,y,n,n,n,n
my  new  froggies  are  so  cutenames  are  propname  and  propname ,y,n,n,n,n
bawwww  at  work  late  todaybbaawwwww ,y,n,n,n,n
y  dont  you  just  set  your  profile  to  private  both  of  you  are  spoiled  girlsso  your  statements  are  invalid ,y,n,n,n,n
  turkeyday  for  me    a  bunch  of  republicans  coming  together  eating  a  huge  feast  and  obama  bashingits  disgusting ,y,n,n,n,n
mmm  should  i  get  a  ps3  to  play  uncharted  2  mmmm ,y,n,n,n,n
successful  weddingim  so  pooped  and  sleeping  on  the  ground  doesnt  help  lol ,y,n,n,n,n
those  who  criticize  our  generation  forget  who  raised  it ,n,y,y,y,y
in  awe  i  watched  the  waxing  moon  ride  across  the  zenith  of  the  heavens  like  an  ambered  chariot  towards  the  ebony  void  of  infinite  space  wherein  the  tethered  belts  of  jupiter  and  mars  hang  forever  festooned  in  their  orbital  majesty  and  as  i  looked  at  all ,n,y,y,y,y
i  refuse  to  answer  that  question  on  the  grounds  that  i  dont  know  the  answer    propname  xd ,n,y,y,y,y
parents  spend  the  first  part  of  our  lives  teaching  us  to  walk  and  talk  and  the  rest  of  it  telling  us  to  sit  down  and  shut  up  xd ,n,y,y,y,y
ah  propname  the  eyes  are  open  the  mouth  moves  but  propname  has  long  since  departed    propname  xd  xd ,n,y,y,y,y
death  and  famine  stalk  the  land  like  two  great  stalking  things    propname ,n,y,y,y,y
arguments  are  to  be  avoided  they  are  always  vulgar  and  often  convincing    oscar  wilde  xd ,n,y,y,y,y
podkanva  vseki  koito  ima  da  i  prashta  snimki  ot  razlichni  meropriyatiya  da  go  stori  v  skype  vuzmojno  naiskoro    p ,n,y,y,y,y
damn  us  beat  spain  we  should  be  proud ,n,y,y,y,y
had  a  fog  sighting  on  the  street ,n,y,y,y,y
district  9  not  perfect  but  definitely  lives  up  to  the  hype ,n,y,y,y,y
needs  a  job ,n,y,y,y,y
propname  may  have  been  out  of  line  but  single  ladies  is  much  better  than  propnames  crappy  song  and  mediocure  video  and  at  least  for  once  he  wasnt  complaining  about  himself  not  losing ,n,y,y,y,y
does  anyone  have  skype  just  got  it ,n,y,y,y,y
celebrated  the  new  year  in  true  oakland  style  hearing  automatic  gunfire  seconds  after  midnight ,n,y,y,y,y
this  is  what  its  all  about  isnt  it  listening  audience  a  brief  seizing  brilliance  in  the  immediate  air  a  deathrendered  flash  of  perfect  equilibriumdon  delillo  ratners  star ,n,y,y,y,y
does  anyone  know  how  to  install  office  2007  in  linux  using  wine   ,y,y,n,y,y
forgot  to  take  my  cell  phone  to  office  to  reach  me  for  today  send  me  mssg  on  google  talk  or  facebook ,y,y,n,y,y
had  the  most  random  interaction  with  a  stone  drunk  stranger ,y,y,n,y,y
had  an  amazingly  lazy  and  uneventful  day  saturday  sucks ,y,y,n,y,y
is  history  written  or  is  it  made ,y,y,n,y,y
finally  internet  at  home  d ,y,y,n,y,y
online  finally ,y,y,n,y,y
random  girl  in  a  bus    are  you  half  chinese  me    huh   ,y,y,n,y,y
migrated  to  ubuntu  linux  completely ,y,y,n,y,y
funniest  thing  happen  to  roman  polanski  d  lol ,y,y,n,y,y
listening  to  hare  krishna  just  in  case  d ,y,y,n,y,y
can  anyone  forward  me  an  invit  to  google  wave ,y,y,n,y,y
first  time  had  three  shots  of  of  jack  daniels  on  the  rock  and  than  to  the  lab ,y,y,n,y,y
here  is  a  quick  poll  for  all  of  you  how  many  of  you    at  this  point  in  your  career  have  held  more  than  5  jobs   ,y,y,n,y,y
are  thoughts  and  substance  interchangable  can  we  redirect  our  thoughts  to  substantiate  anything  that  would  be  comparable  to  our  physical  surroundings  and  experiences   ,y,y,n,y,y
football  fun  fun  and  fun ,y,y,n,y,y
events  of  the  evening    random  lady  at  the  bus  stop    do  you  know  what  no  11  beer  is  me  is  that  a  bus  no  or  a  course  no  random  lady    my  lab  mate  said  it  is  a  good  drink  and  i  can  et  it  here  at  wsu  me  thinking    seriously    of  all  the  ppl  u  could  have  askedwhy  me ,y,y,n,y,y
any  comments  on  the  simmilarity  between  sita  in  ranamayan  and  helen  of  troy  ceartive  inputs  are  more  than  welcome ,y,y,n,y,y
finally  have  a  linux  box  that  runs  office  2007   ,y,y,n,y,y
piglywigly  diet  soda   ,y,y,n,y,y
just  got  to  know  that  my  coworker  was  going  to  call  cops  on  me  cause  that  person  did  not  know  that  i  was  new  to  the  work  place  fun  huh ,y,y,n,y,y
epiphany    two  shots  of  jamesons  can  do  wonders  to  your  experiments  beyond  your  wildest  imagination  d ,y,y,n,y,y
simplicity  in  our  lives  comes  out  of  deep  thinking ,y,y,n,y,y
